# ガス事業者別排出係数（特定排出者の温室効果ガス排出量算定用）
# 出典: －R7年度供給実績－ R8.6.30 環境省・経済産業省公表（単位 t-CO2/千m3）
# 公表資料を Japan GX Group が加工して作成（PDFからの抽出・転記）。加工後の値について公表元は責任を負わない。
# Apache License 2.0 の対象外。原典に対する権利は公表元に帰属するが、公共データ利用規約（第1.0版）＝CC BY 4.0 互換のため、
# 出典と加工した旨を表示すれば商用利用・改変・再配布ができる（NOTICE 参照。再配布時はこの表示を保持すること）。
# 列: 登録番号 <TAB> ガス事業者名 <TAB> メニュー名（供給区域＋メニュー） <TAB> 基礎排出係数 <TAB> 調整後排出係数
# 件数が少ないため公表PDFから手書きで転記してコミットする（値のレビューを可能にするため）。
A0026	東部瓦斯株式会社	福島地区、茨城地区	2.09	2.09
A0027	西部ガス株式会社	福岡エリア メニューA	2.09	0.00
A0027	西部ガス株式会社	福岡エリア 残差	2.09	2.09
A0077	サーラエナジー株式会社	サーラエナジー株式会社の供給区域 メニューA	2.09	0.00
A0077	サーラエナジー株式会社	サーラエナジー株式会社の供給区域 残差	2.09	2.09
A0096	京葉ガス株式会社	京葉ガス株式会社の供給区域 メニューA	2.09	0.00
A0096	京葉ガス株式会社	京葉ガス株式会社の供給区域 残差	2.09	2.09
A0096	京葉ガス株式会社	株式会社エナジー宇宙の供給区域（取手・我孫子エリア）	2.09	2.09
A0099	株式会社エネサンス関東	東京ガスネットワーク株式会社の供給区域	2.09	2.09
B0002	北海道ガス株式会社	北海道ガス株式会社の供給地域	2.09	2.09
B0003	旭川ガス株式会社	旭川地区	2.09	2.09
B0003	旭川ガス株式会社	江別地区	2.09	2.09
C0022	若松ガス株式会社	会津若松市 メニューA	2.13	0.00
C0022	若松ガス株式会社	会津若松市 残差	2.13	2.13
D0003	上越エネルギーサービス株式会社	株式会社INPEX JAPANの供給地域	1.94	1.94
D0007	東京ガス山梨株式会社	東京ガス山梨株式会社の供給区域	2.09	2.09
D0008	北陸瓦斯株式会社	新潟地区 メニューA	2.09	0.00
D0008	北陸瓦斯株式会社	新潟地区 残差	2.09	2.09
D0008	北陸瓦斯株式会社	長岡、三条、見附、加茂、田上地区 メニューA	2.00	0.00
D0008	北陸瓦斯株式会社	長岡、三条、見附、加茂、田上地区 残差	2.00	2.00
D0008	北陸瓦斯株式会社	小千谷、川口地区 メニューA	2.04	0.00
D0008	北陸瓦斯株式会社	小千谷、川口地区 残差	2.04	2.04
D0008	北陸瓦斯株式会社	柏崎、刈羽地区	2.00	2.00
D0009	静岡ガス株式会社	静岡ガス株式会社の供給区域 メニューA	2.09	1.94
D0009	静岡ガス株式会社	静岡ガス株式会社の供給区域 メニューB	2.09	1.98
D0009	静岡ガス株式会社	静岡ガス株式会社の供給区域 残差	2.09	2.09
D0009	静岡ガス株式会社	鈴与商事株式会社の導管沿線	2.09	2.09
D0013	小田原瓦斯株式会社	小田原瓦斯株式会社の供給区域	2.09	2.09
D0020	武州瓦斯株式会社	武州瓦斯株式会社の供給区域 メニューA	2.09	0.00
D0020	武州瓦斯株式会社	武州瓦斯株式会社の供給区域 残差	2.09	2.09
D0025	越後天然ガス株式会社	新潟県新潟市秋葉区 メニューA	2.01	0.00
D0025	越後天然ガス株式会社	新潟県新潟市秋葉区 残差	2.01	2.01
D0027	蒲原瓦斯株式会社	新潟県新潟市西蒲区、南区、燕市、弥彦村	2.00	2.00
